,identifier,latitude,longitude,date,T2M,RH2M,PRECTOTCORR
141,4003,18.523747092002,-91.4828233393199,2025-05-22,33.71,51.19,0.07
142,4003,18.523747092002,-91.4828233393199,2025-05-23,33.7,51.54,1.55
143,4003,18.523747092002,-91.4828233393199,2025-05-24,34.08,46.76,0.53
144,4003,18.523747092002,-91.4828233393199,2025-05-25,34.09,46.34,0.0
145,4003,18.523747092002,-91.4828233393199,2025-05-26,33.79,47.81,0.0
146,4003,18.523747092002,-91.4828233393199,2025-05-27,34.13,48.51,0.1
147,4003,18.523747092002,-91.4828233393199,2025-05-28,33.62,50.5,0.05
148,4003,18.523747092002,-91.4828233393199,2025-05-29,33.4,53.32,2.76
149,4003,18.523747092002,-91.4828233393199,2025-05-30,33.02,53.96,3.12
150,4003,18.523747092002,-91.4828233393199,2025-05-31,32.61,52.28,0.57
151,4003,18.523747092002,-91.4828233393199,2025-06-01,33.33,50.14,0.06
152,4003,18.523747092002,-91.4828233393199,2025-06-02,33.76,51.32,0.29
153,4003,18.523747092002,-91.4828233393199,2025-06-03,32.81,58.14,2.94
154,4003,18.523747092002,-91.4828233393199,2025-06-04,28.68,83.15,16.85
155,4003,18.523747092002,-91.4828233393199,2025-06-05,29.37,73.33,5.46
156,4003,18.523747092002,-91.4828233393199,2025-06-06,31.15,61.17,0.1
157,4003,18.523747092002,-91.4828233393199,2025-06-07,31.43,62.57,3.05
158,4003,18.523747092002,-91.4828233393199,2025-06-08,31.7,62.61,0.75
159,4003,18.523747092002,-91.4828233393199,2025-06-09,32.54,58.19,0.2
160,4003,18.523747092002,-91.4828233393199,2025-06-10,32.61,53.15,0.06
161,4003,18.523747092002,-91.4828233393199,2025-06-11,32.13,59.01,3.44
162,4003,18.523747092002,-91.4828233393199,2025-06-12,31.47,62.1,1.15
163,4003,18.523747092002,-91.4828233393199,2025-06-13,31.48,62.41,3.69
164,4003,18.523747092002,-91.4828233393199,2025-06-14,31.15,62.38,1.39
165,4003,18.523747092002,-91.4828233393199,2025-06-15,31.24,60.77,0.17
166,4003,18.523747092002,-91.4828233393199,2025-06-16,30.39,64.84,3.91
167,4003,18.523747092002,-91.4828233393199,2025-06-17,29.74,65.6,2.92
168,4003,18.523747092002,-91.4828233393199,2025-06-18,27.87,84.19,14.78
169,4003,18.523747092002,-91.4828233393199,2025-06-19,27.23,87.87,26.29
170,4003,18.523747092002,-91.4828233393199,2025-06-20,27.96,80.38,4.93
171,4003,18.523747092002,-91.4828233393199,2025-06-21,28.35,76.93,1.09
172,4003,18.523747092002,-91.4828233393199,2025-06-22,28.85,71.95,1.21
173,4003,18.523747092002,-91.4828233393199,2025-06-23,29.32,69.29,3.27
174,4003,18.523747092002,-91.4828233393199,2025-06-24,28.04,79.41,21.42
175,4003,18.523747092002,-91.4828233393199,2025-06-25,27.48,83.28,31.21
176,4003,18.523747092002,-91.4828233393199,2025-06-26,27.48,84.67,16.02
177,4003,18.523747092002,-91.4828233393199,2025-06-27,26.95,87.66,14.86
178,4003,18.523747092002,-91.4828233393199,2025-06-28,27.16,88.61,40.67
179,4003,18.523747092002,-91.4828233393199,2025-06-29,26.97,90.22,2.02
180,4003,18.523747092002,-91.4828233393199,2025-06-30,27.22,87.99,1.31
181,4003,18.523747092002,-91.4828233393199,2025-07-01,27.83,86.48,5.29
182,4003,18.523747092002,-91.4828233393199,2025-07-02,27.82,85.07,2.52
183,4003,18.523747092002,-91.4828233393199,2025-07-03,27.52,83.5,0.15
184,4003,18.523747092002,-91.4828233393199,2025-07-04,28.03,81.87,0.02
185,4003,18.523747092002,-91.4828233393199,2025-07-05,28.14,77.03,0.02
186,4003,18.523747092002,-91.4828233393199,2025-07-06,28.49,79.33,0.11
187,4003,18.523747092002,-91.4828233393199,2025-07-07,27.64,83.36,12.0
188,4003,18.523747092002,-91.4828233393199,2025-07-08,27.36,84.13,4.29
189,4003,18.523747092002,-91.4828233393199,2025-07-09,27.58,83.9,6.58
190,4003,18.523747092002,-91.4828233393199,2025-07-10,27.76,82.32,7.1
191,4003,18.523747092002,-91.4828233393199,2025-07-11,27.7,83.68,6.99
192,4003,18.523747092002,-91.4828233393199,2025-07-12,28.2,81.35,0.95
