"","CVEGEO","x","y"
"1765","21190",-97.8480488220916,18.2915324089584
"1766","21191",-98.3975430761456,17.9750647079823
"1767","21192",-97.5305948916775,20.1038130597491
"1768","21193",-98.041711644761,18.8161951088683
"1769","21194",-97.6872373086852,20.5083526989653
"1770","21195",-97.182050185772,18.530337932322
"1771","21196",-97.946521779746,18.2782456354603
"1772","21197",-97.9026590884,20.3266152160408
"1773","21198",-98.600576014213,18.0956370345577
"1774","21199",-97.3599317523743,19.7225192198046
"1775","21200",-97.6467863479166,19.8479465060273
"1776","21201",-98.3369623223025,18.6580970779902
"1777","21202",-97.6536192053085,19.9388829439656
"1778","21203",-97.7779330404056,18.6957992134581
"1779","21204",-97.4424827132984,19.9196150313842
"1780","21205",-97.6782521174308,18.7675482254336
"1781","21206",-98.052546357698,18.5800842115278
"1782","21207",-97.5812826568477,19.8543517581269
"1783","21208",-97.9989910422632,19.9649128964997
"1784","21209",-97.5219190376259,18.2774014236654
"1785","21210",-97.6926084651994,20.0041523179785
"1786","21211",-97.5685730343638,19.7472579685115
"1787","21212",-97.6826876415658,19.7142924018682
"1788","21213",-97.798317728128,20.299099288069
"1789","21214",-97.222473079314,18.3274385219413
"1790","21215",-97.7605223082798,19.9765413071376
"1791","21216",-97.5668847414958,20.0333657268004
"1792","21217",-96.9786960203736,18.377112490452
"1793","22001",-100.098594587515,20.1748903779211
"1794","22002",-99.5926729477068,21.1416969992397
"1795","22003",-99.6355734398378,21.4092319816244
"1796","22004",-99.6570709936065,20.7913501603294
"1797","22005",-100.100552475082,20.7582213607883
"1798","22006",-100.441070423523,20.4854248994593
"1799","22007",-99.8666623573728,20.6492700177319
"1800","22008",-100.314209352133,20.4038189416191
"1801","22009",-99.3317337242598,21.3744653303497
"1802","22010",-99.1918466514068,21.25764877249
"1803","22011",-100.278608579235,20.7201560734928
"1804","22012",-100.172448243844,20.4719488584231
"1805","22013",-99.8299289306819,21.0976688979166
"1806","22014",-100.452697444148,20.7287572011318
"1807","22015",-99.5208083955618,20.9826663827626
"1808","22016",-100.000376529008,20.3688978705861
"1809","22017",-99.9525433261301,20.5511676972036
"1810","22018",-99.9344279832455,20.9179384557971
"1811","23001",-86.9089264943775,20.4448120016965
"1812","23002",-88.0561042963949,19.6693521903714
"1813","23003",-86.9866031499538,21.3660076413483
"1814","23004",-88.4676051514522,18.5088779740384
"1815","23005",-86.9411189233349,21.0781762873063
"1816","23006",-88.8160983275116,19.6357189890579
"1817","23007",-87.3831287399912,21.0576137636282
"1818","23008",-87.4000076476793,20.5821657240914
"1819","23009",-87.6655965060579,20.3039226262838
"1820","23010",-88.5312565391432,18.9758857087378
"1821","23011",-87.1298980775834,20.9375927881565
"1822","24001",-101.253335683107,22.4504856069265
"1823","24002",-99.6194622542087,22.0999337523708
"1824","24003",-99.1118867933073,21.7235191379914
"1825","24004",-100.637847944626,22.2695804131989
"1826","24005",-99.6759865198233,21.9905213398424
"1827","24006",-101.056441432658,23.6454524467595
"1828","24007",-100.673794566179,23.9302659188366
"1829","24008",-100.277384225165,22.4448061559102
"1830","24009",-100.777771836558,22.1924753431355
"1831","24010",-99.7173824333091,22.439086210696
"1832","24011",-100.211582744162,22.0158769434785
"1833","24012",-98.959692483169,21.6316502770182
"1834","24013",-99.0630818833493,22.1072222325881
"1835","24014",-98.9058286446125,21.5149898570628
"1836","24015",-101.121390893109,23.2190735412994
"1837","24016",-98.5141723832771,22.2041775026381
"1838","24017",-100.303769545341,22.8662988699256
"1839","24018",-98.9831831819808,21.5260007707717
"1840","24019",-99.6094831623034,21.6149211822506
"1841","24020",-100.587256374173,23.5131996774105
"1842","24021",-101.156728208387,22.2590302796038
"1843","24022",-101.17102212674,22.7333817027529
"1844","24023",-99.6168487719414,21.8240900933609
"1845","24024",-100.034509859648,21.9617438131616
"1846","24025",-101.629401930396,22.7979165889586
"1847","24026",-98.8415441863982,21.6292145711647
"1848","24027",-99.8955840784469,21.5761470250054
"1849","24028",-100.960866631752,22.2701991211655
"1850","24029",-98.6195216178863,21.3997427961139
"1851","24030",-100.457788277069,22.1694827548888
"1852","24031",-99.4060596825212,21.5885275248407
"1853","24032",-100.554302226942,21.7680126493884
"1854","24033",-101.681440282775,23.3496877802215
"1855","24034",-98.5978608191025,21.799773400622
"1856","24035",-100.855171830637,22.2715880595465
"1857","24036",-99.3560375007242,21.9329919191348
"1858","24037",-98.7847162889103,21.2413138326045
"1859","24038",-98.7457383250193,21.4176437736859
"1860","24039",-98.7706507366117,21.5545751923493
"1861","24040",-98.7353104740963,22.0934904666467
"1862","24041",-98.8261004295388,21.7227944165069
"1863","24042",-98.664719376272,21.6072803605858
"1864","24043",-100.497444213209,21.6642331997325
"1865","24044",-100.91428907183,24.11038820578
"1866","24045",-101.095086456937,22.9251859209132
"1867","24046",-101.273187191374,21.9685904250293
"1868","24047",-100.717459037843,23.2125206511173
"1869","24048",-100.756878443399,23.6649194244628
"1870","24049",-101.916267250285,22.9324347466219
"1871","24050",-100.981535627973,21.8517633534527
"1872","24051",-100.67338020848,22.6405208200926
"1873","24052",-100.197395335732,22.2892040031518
"1874","24053",-98.8692137243615,21.4261738944176
"1875","24054",-99.0254013347238,21.3858755082124
"1876","24055",-100.676719519013,22.0081614501498
"1877","24056",-100.804396123676,22.6599089824939
"1878","24057",-98.8373586817969,21.3293352520257
"1879","24058",-99.3658839081893,22.4900032034007
"1880","25001",-109.133074039603,25.8952835915705
"1881","25002",-108.141441013633,25.1459669959433
"1882","25003",-107.39605486007,25.5904097582651
"1883","25004",-105.991839490447,23.4140452186637
"1884","25005",-106.79929359567,24.481370283131
"1885","25006",-107.266506695594,24.6508922462276
"1886","25007",-108.276860265668,26.6801212216774
"1887","25008",-106.842145442608,24.043310371041
"1888","25009",-105.685687122685,22.7240501293971
"1889","25010",-108.679239680876,26.2551142472557
"1890","25011",-108.558154480969,25.5345744023921
"1891","25012",-106.306079051248,23.4682072557524
"1892","25013",-107.779491021149,25.3595056897684
"1893","25014",-105.80522782805,23.0562420021844
"1894","25015",-108.075938831686,25.4183877767748
"1895","25016",-106.370409598575,23.954350116088
"1896","25017",-108.110447118247,25.9688190926063
"1897","25018",-107.764461238064,24.7231752395295
"1898","26001",-110.222392833971,29.7962420515312
"1899","26002",-109.197293531174,31.104407996613
"1900","26003",-108.877029529137,27.0503086138329
"1901","26004",-111.924669864932,31.1752291679889
"1902","26005",-109.050409873811,28.8728389649638
"1903","26006",-110.189194974159,30.4107535486675
"1904","26007",-111.544871657371,30.8159915194231
"1905","26008",-109.087849080082,29.8452043487472
"1906","26009",-109.3855333191,28.8927840991255
"1907","26010",-108.81961642077,30.3103215751919
"1908","26011",-109.97901886128,30.6696527547673
"1909","26012",-110.158953774222,27.7431536759492
"1910","26013",-110.273257996409,30.0610576865559
"1911","26014",-110.119787647887,29.6245733505624
"1912","26015",-109.00634430289,30.6177611563233
"1913","26016",-111.211461598759,30.1701239542501
"1914","26017",-112.539883404373,30.8237458573467
"1915","26018",-109.887036792625,27.7918039033319
"1916","26019",-110.235401296057,30.988402865361
"1917","26020",-111.072239069205,29.7195979428959
"1918","26021",-110.382558895909,28.7244763548495
"1919","26022",-110.630621313896,30.4114453387768
"1920","26023",-109.810005907446,30.0673265971972
"1921","26024",-109.376781211326,29.6154077931895
"1922","26025",-110.668735392429,28.0084742668324
"1923","26026",-109.688526040481,27.0150962673032
"1924","26027",-109.647909987841,30.8483980227831
"1925","26028",-109.312376098004,29.7611126999516
"1926","26029",-110.625655377703,28.1422124193755
"1927","26030",-111.473256755102,29.0234561900258
"1928","26031",-108.915194268611,30.1231359667742
"1929","26032",-109.381371286335,29.97552388636
"1930","26033",-109.405803968549,26.650658527051
"1931","26034",-110.245089610904,29.9303684321491
"1932","26035",-110.745666536061,30.8472883451211
"1933","26036",-111.021145944567,30.7312170834068
"1934","26037",-110.209573787461,28.9600616120734
"1935","26038",-109.723885600008,29.7285618467815
"1936","26039",-109.957109302567,31.2295728637788
"1937","26040",-108.852104310972,29.6350683281335
"1938","26041",-109.480122369072,30.4867193746304
"1939","26042",-109.402381694038,27.0778343985032
"1940","26043",-111.00243068815,31.19886755911
"1941","26044",-109.492098314743,28.4572975940005
